passengerid,pclass,survived,sex,age,sibsp,parch,fare,cabin,embarked
1,1,1,female,29,0,0,211.3375,B5,S
2,1,1,male,0,1,2,151.55,C22 C26,S
3,1,0,female,2,1,2,151.55,C22 C26,S
4,1,0,male,30,1,2,151.55,C22 C26,S
5,1,0,female,25,1,2,151.55,C22 C26,S
6,1,1,male,48,0,0,26.55,E12,S
7,1,1,female,63,1,0,77.9583,D7,S
8,1,0,male,39,0,0,0,A36,S
9,1,1,female,53,2,0,51.4792,C101,S
10,1,0,male,71,0,0,49.5042,?,C
11,1,0,male,47,1,0,227.525,C62 C64,C
12,1,1,female,18,1,0,227.525,C62 C64,C
13,1,1,female,24,0,0,69.3,B35,C
14,1,1,female,26,0,0,78.85,?,S
15,1,1,male,80,0,0,30,A23,S
16,1,0,male,29,0,0,25.925,?,S
17,1,0,male,24,0,1,247.5208,B58 B60,C
18,1,1,female,50,0,1,247.5208,B58 B60,C
19,1,1,female,32,0,0,76.2917,D15,C
20,1,0,male,36,0,0,75.2417,C6,C
21,1,1,male,37,1,1,52.5542,D35,S
22,1,1,female,47,1,1,52.5542,D35,S
23,1,1,male,26,0,0,30,C148,C
24,1,1,female,42,0,0,227.525,?,C
25,1,1,female,29,0,0,221.7792,C97,S
26,1,0,male,25,0,0,26,?,C
27,1,1,male,25,1,0,91.0792,B49,C
28,1,1,female,19,1,0,91.0792,B49,C
29,1,1,female,35,0,0,135.6333,C99,S
30,1,1,male,28,0,0,26.55,C52,S
31,1,0,male,45,0,0,35.5,T,S
32,1,1,male,40,0,0,31,A31,C
33,1,1,female,30,0,0,164.8667,C7,S
34,1,1,female,58,0,0,26.55,C103,S
35,1,0,male,42,0,0,26.55,D22,S
36,1,1,female,45,0,0,262.375,?,C
37,1,1,female,22,0,1,55,E33,S
38,1,1,male,29,0,0,26.55,?,S
39,1,0,male,41,0,0,30.5,A21,S
40,1,0,male,48,0,0,50.4958,B10,C
41,1,0,male,29,0,0,39.6,?,C
42,1,1,female,44,0,0,27.7208,B4,C
43,1,1,female,59,2,0,51.4792,C101,S
44,1,1,female,60,0,0,76.2917,D15,C
45,1,1,female,41,0,0,134.5,E40,C
46,1,0,male,45,0,0,26.55,B38,S
47,1,0,male,29,0,0,31,?,S
48,1,1,male,42,0,0,26.2875,E24,S
49,1,1,female,53,0,0,27.4458,?,C
50,1,1,male,36,0,1,512.3292,B51 B53 B55,C
51,1,1,female,58,0,1,512.3292,B51 B53 B55,C
52,1,0,male,33,0,0,5,B51 B53 B55,S
53,1,0,male,28,0,0,47.1,?,S
54,1,0,male,17,0,0,47.1,?,S
55,1,1,male,11,1,2,120,B96 B98,S
56,1,1,female,14,1,2,120,B96 B98,S
57,1,1,male,36,1,2,120,B96 B98,S
58,1,1,female,36,1,2,120,B96 B98,S
59,1,0,male,49,0,0,26,?,S
60,1,1,female,29,0,0,27.7208,?,C
61,1,0,male,36,1,0,78.85,C46,S
62,1,1,female,76,1,0,78.85,C46,S
63,1,0,male,46,1,0,61.175,E31,S
64,1,1,female,47,1,0,61.175,E31,S
65,1,1,male,27,1,0,53.1,E8,S
66,1,1,female,33,1,0,53.1,E8,S
67,1,1,female,36,0,0,262.375,B61,C
68,1,1,female,30,0,0,86.5,B77,S
69,1,1,male,45,0,0,29.7,A9,C
70,1,1,female,29,0,1,55,E33,S
71,1,0,male,29,0,0,0,?,S
72,1,0,male,27,1,0,136.7792,C89,C
73,1,1,female,26,1,0,136.7792,C89,C
74,1,1,female,22,0,0,151.55,?,S
75,1,0,male,29,0,0,52,A14,S
76,1,0,male,47,0,0,25.5875,E58,S
77,1,1,female,39,1,1,83.1583,E49,C
78,1,0,male,37,1,1,83.1583,E52,C
79,1,1,female,64,0,2,83.1583,E45,C
80,1,1,female,55,2,0,25.7,C101,S
81,1,0,male,29,0,0,26.55,?,S
82,1,0,male,70,1,1,71,B22,S
83,1,1,female,36,0,2,71,B22,S
84,1,1,female,64,1,1,26.55,B26,S
85,1,0,male,39,1,0,71.2833,C85,C
86,1,1,female,38,1,0,71.2833,C85,C
87,1,1,male,51,0,0,26.55,E17,S
88,1,1,male,27,0,0,30.5,?,S
89,1,1,female,33,0,0,151.55,?,S
90,1,0,male,31,1,0,52,B71,S
91,1,1,female,27,1,2,52,B71,S
92,1,1,male,31,1,0,57,B20,S
93,1,1,female,17,1,0,57,B20,S
94,1,1,male,53,1,1,81.8583,A34,S
95,1,1,male,4,0,2,81.8583,A34,S
96,1,1,female,54,1,1,81.8583,A34,S
97,1,0,male,50,1,0,106.425,C86,C
98,1,1,female,27,1,1,247.5208,B58 B60,C
99,1,1,female,48,1,0,106.425,C86,C
100,1,1,female,48,1,0,39.6,A16,C
101,1,1,male,49,1,0,56.9292,A20,C
102,1,0,male,39,0,0,29.7,A18,C
103,1,1,female,23,0,1,83.1583,C54,C
104,1,1,female,38,0,0,227.525,C45,C
105,1,1,female,54,1,0,78.2667,D20,C
106,1,0,female,36,0,0,31.6792,A29,C
107,1,0,male,29,0,0,221.7792,C95,S
108,1,1,female,29,0,0,31.6833,?,S
109,1,1,female,29,0,0,110.8833,?,C
110,1,1,male,36,0,0,26.3875,E25,S
111,1,0,male,30,0,0,27.75,C111,C
112,1,1,female,24,3,2,263,C23 C25 C27,S
113,1,1,female,28,3,2,263,C23 C25 C27,S
114,1,1,female,23,3,2,263,C23 C25 C27,S
115,1,0,male,19,3,2,263,C23 C25 C27,S
116,1,0,male,64,1,4,263,C23 C25 C27,S
117,1,1,female,60,1,4,263,C23 C25 C27,S
118,1,1,female,30,0,0,56.9292,E36,C
119,1,0,male,29,0,0,26.55,D34,S
120,1,1,male,50,2,0,133.65,?,S
121,1,1,male,43,1,0,27.7208,D40,C
122,1,1,female,29,1,0,133.65,?,S
123,1,1,female,22,0,2,49.5,B39,C
124,1,1,male,60,1,1,79.2,B41,C
125,1,1,female,48,1,1,79.2,B41,C
126,1,0,male,29,0,0,0,B102,S
127,1,0,male,37,1,0,53.1,C123,S
128,1,1,female,35,1,0,53.1,C123,S
129,1,0,male,47,0,0,38.5,E63,S
130,1,1,female,35,0,0,211.5,C130,C
131,1,1,female,22,0,1,59.4,?,C
132,1,1,female,45,0,1,59.4,?,C
133,1,0,male,24,0,0,79.2,B86,C
134,1,1,male,49,1,0,89.1042,C92,C
135,1,1,female,29,1,0,89.1042,C92,C
136,1,0,male,71,0,0,34.6542,A5,C
137,1,1,male,53,0,0,28.5,C51,C
138,1,1,female,19,0,0,30,B42,S
139,1,0,male,38,0,1,153.4625,C91,S
140,1,1,female,58,0,1,153.4625,C125,S
141,1,1,male,23,0,1,63.3583,D10 D12,C
142,1,1,female,45,0,1,63.3583,D10 D12,C
143,1,0,male,46,0,0,79.2,B82 B84,C
144,1,1,male,25,1,0,55.4417,E50,C
145,1,1,female,25,1,0,55.4417,E50,C
146,1,1,male,48,1,0,76.7292,D33,C
147,1,1,female,49,1,0,76.7292,D33,C
148,1,0,male,29,0,0,42.4,?,S
149,1,0,male,45,1,0,83.475,C83,S
150,1,1,female,35,1,0,83.475,C83,S
151,1,0,male,40,0,0,0,B94,S
152,1,1,male,27,0,0,76.7292,D49,C
153,1,1,male,29,0,0,30,D45,S
154,1,1,female,24,0,0,83.1583,C54,C
155,1,0,male,55,1,1,93.5,B69,S
156,1,1,female,52,1,1,93.5,B69,S
157,1,0,male,42,0,0,42.5,B11,S
158,1,0,male,29,0,0,51.8625,E46,S
159,1,0,male,55,0,0,50,C39,S
160,1,1,female,16,0,1,57.9792,B18,C
161,1,1,female,44,0,1,57.9792,B18,C
162,1,1,female,51,1,0,77.9583,D11,S
163,1,0,male,42,1,0,52,?,S
164,1,1,female,35,1,0,52,?,S
165,1,1,male,35,0,0,26.55,?,C
166,1,1,male,38,1,0,90,C93,S
167,1,0,male,29,0,0,30.6958,?,C
168,1,1,female,35,1,0,90,C93,S
169,1,1,female,38,0,0,80,B28,?
170,1,0,female,50,0,0,28.7125,C49,C
171,1,1,male,49,0,0,0,B52 B54 B56,S
172,1,0,male,46,0,0,26,?,S
173,1,0,male,50,0,0,26,E60,S
174,1,0,male,32,0,0,211.5,C132,C
175,1,0,male,58,0,0,29.7,B37,C
176,1,0,male,41,1,0,51.8625,D21,S
177,1,1,female,29,1,0,51.8625,D21,S
178,1,1,male,42,1,0,52.5542,D19,S
179,1,1,female,45,1,0,52.5542,D19,S
180,1,0,male,29,0,0,26.55,C124,S
181,1,1,female,39,0,0,211.3375,?,S
182,1,1,female,49,0,0,25.9292,D17,S
183,1,1,female,30,0,0,106.425,?,C
184,1,1,male,35,0,0,512.3292,B101,C
185,1,0,male,29,0,0,27.7208,?,C
186,1,0,male,42,0,0,26.55,?,S
187,1,1,female,55,0,0,27.7208,?,C
188,1,1,female,16,0,1,39.4,D28,S
189,1,1,female,51,0,1,39.4,D28,S
190,1,0,male,29,0,0,30,D6,S
191,1,1,female,21,0,0,77.9583,D9,S
192,1,0,male,30,0,0,45.5,?,S
193,1,1,female,58,0,0,146.5208,B80,C
194,1,1,female,15,0,1,211.3375,B5,S
195,1,0,male,30,0,0,26,C106,S
196,1,1,female,16,0,0,86.5,B79,S
197,1,1,male,29,0,0,29.7,C47,C
198,1,0,male,19,1,0,53.1,D30,S
199,1,1,female,18,1,0,53.1,D30,S
200,1,1,female,24,0,0,49.5042,C90,C
201,1,0,male,46,0,0,75.2417,C6,C
202,1,0,male,54,0,0,51.8625,E46,S
203,1,1,male,36,0,0,26.2875,E25,S
204,1,0,male,28,1,0,82.1708,?,C
205,1,1,female,29,1,0,82.1708,?,C
206,1,0,male,65,0,0,26.55,E38,S
207,1,0,male,44,2,0,90,C78,Q
208,1,1,female,33,1,0,90,C78,Q
209,1,1,female,37,1,0,90,C78,Q
210,1,1,male,30,1,0,57.75,C78,C
211,1,0,male,55,0,0,30.5,C30,S
212,1,0,male,47,0,0,42.4,?,S
213,1,0,male,37,0,1,29.7,C118,C
214,1,1,female,31,1,0,113.275,D36,C
215,1,1,female,23,1,0,113.275,D36,C
216,1,0,male,58,0,2,113.275,D48,C
217,1,1,female,19,0,2,26.2833,D47,S
218,1,0,male,64,0,0,26,?,S
219,1,1,female,39,0,0,108.9,C105,C
220,1,1,male,29,0,0,25.7417,?,C
221,1,1,female,22,0,1,61.9792,B36,C
222,1,0,male,65,0,1,61.9792,B30,C
223,1,0,male,28,0,0,27.7208,D43,C
224,1,0,male,29,0,0,0,?,S
225,1,0,male,45,0,0,28.5,C124,S
226,1,0,male,23,0,0,93.5,B24,S
227,1,0,male,29,1,0,66.6,C2,S
228,1,1,female,22,1,0,66.6,C2,S
229,1,0,male,18,1,0,108.9,C65,C
230,1,1,female,17,1,0,108.9,C65,C
231,1,1,female,30,0,0,93.5,B73,S
232,1,1,male,52,0,0,30.5,C104,S
233,1,0,male,47,0,0,52,C110,S
234,1,1,female,56,0,1,83.1583,C50,C
235,1,0,male,38,0,0,0,?,S
236,1,1,male,29,0,0,39.6,?,S
237,1,0,male,22,0,0,135.6333,?,C
238,1,0,male,29,0,0,227.525,?,C
239,1,1,female,43,0,1,211.3375,B3,S
240,1,0,male,31,0,0,50.4958,A24,S
241,1,1,male,45,0,0,26.55,?,S
242,1,0,male,29,0,0,50,A32,S
243,1,1,female,33,0,0,27.7208,A11,C
244,1,0,male,46,0,0,79.2,?,C
245,1,0,male,36,0,0,40.125,A10,C
246,1,1,female,33,0,0,86.5,B77,S
247,1,0,male,55,1,0,59.4,?,C
248,1,1,female,54,1,0,59.4,?,C
249,1,0,male,33,0,0,26.55,?,S
250,1,1,male,13,2,2,262.375,B57 B59 B63 B66,C
251,1,1,female,18,2,2,262.375,B57 B59 B63 B66,C
252,1,1,female,21,2,2,262.375,B57 B59 B63 B66,C
253,1,0,male,61,1,3,262.375,B57 B59 B63 B66,C
254,1,1,female,48,1,3,262.375,B57 B59 B63 B66,C
255,1,1,male,29,0,0,30.5,C106,S
256,1,1,female,24,0,0,69.3,B35,C
257,1,1,male,29,0,0,26,?,S
258,1,1,female,35,1,0,57.75,C28,C
259,1,1,female,30,0,0,31,?,C
260,1,1,male,34,0,0,26.55,?,S
261,1,1,female,40,0,0,153.4625,C125,S
262,1,1,male,35,0,0,26.2875,E24,S
263,1,0,male,50,1,0,55.9,E44,S
264,1,1,female,39,1,0,55.9,E44,S
265,1,1,male,56,0,0,35.5,A26,C
266,1,1,male,28,0,0,35.5,A6,S
267,1,0,male,56,0,0,26.55,?,S
268,1,0,male,56,0,0,30.6958,A7,C
269,1,0,male,24,1,0,60,C31,S
270,1,0,male,29,0,0,26,A19,S
271,1,1,female,18,1,0,60,C31,S
272,1,1,male,24,1,0,82.2667,B45,S
273,1,1,female,23,1,0,82.2667,B45,S
274,1,1,male,6,0,2,134.5,E34,C
275,1,1,male,45,1,1,134.5,E34,C
276,1,1,female,40,1,1,134.5,E34,C
277,1,0,male,57,1,0,146.5208,B78,C
278,1,1,female,29,1,0,146.5208,B78,C
279,1,1,male,32,0,0,30.5,B50,C
280,1,0,male,62,0,0,26.55,C87,S
281,1,1,male,54,1,0,55.4417,C116,C
282,1,1,female,43,1,0,55.4417,C116,C
283,1,1,female,52,1,0,78.2667,D20,C
284,1,0,male,29,0,0,27.7208,?,C
285,1,1,female,62,0,0,80,B28,?
286,1,0,male,67,1,0,221.7792,C55 C57,S
287,1,0,female,63,1,0,221.7792,C55 C57,S
288,1,0,male,61,0,0,32.3208,D50,S
289,1,1,female,48,0,0,25.9292,D17,S
290,1,1,female,18,0,2,79.65,E68,S
291,1,0,male,52,1,1,79.65,E67,S
292,1,1,female,39,1,1,79.65,E67,S
293,1,1,male,48,1,0,52,C126,S
294,1,1,female,29,1,0,52,C126,S
295,1,0,male,49,1,1,110.8833,C68,C
296,1,1,male,17,0,2,110.8833,C70,C
297,1,1,female,39,1,1,110.8833,C68,C
298,1,1,female,29,0,0,79.2,?,C
299,1,1,male,31,0,0,28.5375,C53,C
300,1,0,male,40,0,0,27.7208,?,C
301,1,0,male,61,0,0,33.5,B19,S
302,1,0,male,47,0,0,34.0208,D46,S
303,1,1,female,35,0,0,512.3292,?,C
304,1,0,male,64,1,0,75.25,D37,C
305,1,1,female,60,1,0,75.25,D37,C
306,1,0,male,60,0,0,26.55,?,S
307,1,0,male,54,0,1,77.2875,D26,S
308,1,0,male,21,0,1,77.2875,D26,S
309,1,1,female,55,0,0,135.6333,C32,C
310,1,1,female,31,0,2,164.8667,C7,S
311,1,0,male,57,1,1,164.8667,?,S
312,1,1,female,45,1,1,164.8667,?,S
313,1,0,male,50,1,1,211.5,C80,C
314,1,0,male,27,0,2,211.5,C82,C
315,1,1,female,50,1,1,211.5,C80,C
316,1,1,female,21,0,0,26.55,?,S
317,1,0,male,51,0,1,61.3792,?,C
318,1,1,male,21,0,1,61.3792,?,C
319,1,0,male,29,0,0,35,C128,S
320,1,1,female,31,0,0,134.5,E39 E41,C
321,1,1,male,29,0,0,35.5,C52,S
322,1,0,male,62,0,0,26.55,?,S
323,1,1,female,36,0,0,135.6333,C32,C
324,2,0,male,30,1,0,24,?,C
325,2,1,female,28,1,0,24,?,C
326,2,0,male,30,0,0,13,?,S
327,2,0,male,18,0,0,11.5,?,S
328,2,0,male,25,0,0,10.5,?,S
329,2,0,male,34,1,0,26,?,S
330,2,1,female,36,1,0,26,?,S
331,2,0,male,57,0,0,13,?,S
332,2,0,male,18,0,0,11.5,?,S
333,2,0,male,23,0,0,10.5,?,S
334,2,1,female,36,0,0,13,D,S
335,2,0,male,28,0,0,10.5,?,S
336,2,0,male,51,0,0,12.525,?,S
337,2,1,male,32,1,0,26,?,S
338,2,1,female,19,1,0,26,?,S
339,2,0,male,28,0,0,26,?,S
340,2,1,male,1,2,1,39,F4,S
341,2,1,female,4,2,1,39,F4,S
342,2,1,female,12,2,1,39,F4,S
343,2,1,female,36,0,3,39,F4,S
344,2,1,male,34,0,0,13,D56,S
345,2,1,female,19,0,0,13,?,S
346,2,0,male,23,0,0,13,?,S
347,2,0,male,26,0,0,13,?,S
348,2,0,male,42,0,0,13,?,S
349,2,0,male,27,0,0,13,?,S
350,2,1,female,24,0,0,13,F33,S
351,2,1,female,15,0,2,39,?,S
352,2,0,male,60,1,1,39,?,S
353,2,1,female,40,1,1,39,?,S
354,2,1,female,20,1,0,26,?,S
355,2,0,male,25,1,0,26,?,S
356,2,1,female,36,0,0,13,?,S
357,2,0,male,25,0,0,13,?,S
358,2,0,male,42,0,0,13,?,S
359,2,1,female,42,0,0,13,?,S
360,2,1,male,0,0,2,29,?,S
361,2,1,male,26,1,1,29,?,S
362,2,1,female,22,1,1,29,?,S
363,2,1,female,35,0,0,21,?,S
364,2,0,male,29,0,0,0,?,S
365,2,0,male,19,0,0,13,?,S
366,2,0,female,44,1,0,26,?,S
367,2,0,male,54,1,0,26,?,S
368,2,0,male,52,0,0,13.5,?,S
369,2,0,male,37,1,0,26,?,S
370,2,0,female,29,1,0,26,?,S
371,2,1,female,25,1,1,30,?,S
372,2,1,female,45,0,2,30,?,S
373,2,0,male,29,1,0,26,?,S
374,2,1,female,28,1,0,26,?,S
375,2,0,male,29,0,0,10.5,?,S
376,2,0,male,28,0,0,13,?,S
377,2,1,male,24,0,0,10.5,?,S
378,2,1,female,8,0,2,26.25,?,S
379,2,0,male,31,1,1,26.25,?,S
380,2,1,female,31,1,1,26.25,?,S
381,2,1,female,22,0,0,10.5,F33,S
382,2,0,female,30,0,0,13,?,S
383,2,0,female,29,0,0,21,?,S
384,2,0,male,21,0,0,11.5,?,S
385,2,0,male,29,0,0,0,?,S
386,2,1,male,8,1,1,36.75,?,S
387,2,0,male,18,0,0,73.5,?,S
388,2,1,female,48,0,2,36.75,?,S
389,2,1,female,28,0,0,13,?,S
390,2,0,male,32,0,0,13,?,S
391,2,0,male,17,0,0,73.5,?,S
392,2,0,male,29,1,0,27.7208,?,C
393,2,1,female,24,1,0,27.7208,?,C
394,2,0,male,25,0,0,31.5,?,S
395,2,0,male,18,0,0,73.5,?,S
396,2,1,female,18,0,1,23,?,S
397,2,1,female,34,0,1,23,?,S
398,2,0,male,54,0,0,26,?,S
399,2,1,male,8,0,2,32.5,?,S
400,2,0,male,42,1,1,32.5,?,S
401,2,1,female,34,1,1,32.5,?,S
402,2,1,female,27,1,0,13.8583,?,C
403,2,1,female,30,1,0,13.8583,?,C
404,2,0,male,23,0,0,13,?,S
405,2,0,male,21,0,0,13,?,S
406,2,0,male,18,0,0,13,?,S
407,2,0,male,40,1,0,26,?,S
408,2,1,female,29,1,0,26,?,S
409,2,0,male,18,0,0,10.5,?,S
410,2,0,male,36,0,0,13,?,S
411,2,0,male,29,0,0,0,?,S
412,2,0,female,38,0,0,13,?,S
413,2,0,male,35,0,0,26,?,S
414,2,0,male,38,1,0,21,?,S
415,2,0,male,34,1,0,21,?,S
416,2,1,female,34,0,0,13,?,S
417,2,0,male,16,0,0,26,?,S
418,2,0,male,26,0,0,10.5,?,S
419,2,0,male,47,0,0,10.5,?,S
420,2,0,male,21,1,0,11.5,?,S
421,2,0,male,21,1,0,11.5,?,S
422,2,0,male,24,0,0,13.5,?,S
423,2,0,male,24,0,0,13,?,S
